Loading wordToVec pickle..
Loaded wordToVec pickle..
Loading train pickle..
Loaded train pickle..
train size:  316436
Loading test pickle..
Loaded test pickle..
pair index 17899 loss tensor(66.7641, grad_fn=<AddBackward0>)
pair index 17999 loss tensor(69.9263, grad_fn=<AddBackward0>)
pair index 18099 loss tensor(68.3468, grad_fn=<AddBackward0>)
pair index 18199 loss tensor(68.0373, grad_fn=<AddBackward0>)
pair index 18299 loss tensor(65.1963, grad_fn=<AddBackward0>)
pair index 18399 loss tensor(67.1916, grad_fn=<AddBackward0>)
pair index 18499 loss tensor(68.0151, grad_fn=<AddBackward0>)
pair index 18599 loss tensor(66.6062, grad_fn=<AddBackward0>)
pair index 18699 loss tensor(67.7197, grad_fn=<AddBackward0>)
pair index 18799 loss tensor(65.5574, grad_fn=<AddBackward0>)
pair index 18899 loss tensor(66.9814, grad_fn=<AddBackward0>)
pair index 18999 loss tensor(69.9106, grad_fn=<AddBackward0>)
pair index 19099 loss tensor(67.0963, grad_fn=<AddBackward0>)
pair index 19199 loss tensor(66.7574, grad_fn=<AddBackward0>)
pair index 19299 loss tensor(66.1640, grad_fn=<AddBackward0>)
pair index 19399 loss tensor(64.4346, grad_fn=<AddBackward0>)
pair index 19499 loss tensor(64.5843, grad_fn=<AddBackward0>)
pair index 19599 loss tensor(69.5128, grad_fn=<AddBackward0>)
pair index 19699 loss tensor(66.4636, grad_fn=<AddBackward0>)
pair index 19799 loss tensor(66.0643, grad_fn=<AddBackward0>)
pair index 19899 loss tensor(68.3447, grad_fn=<AddBackward0>)
pair index 19999 loss tensor(64.5810, grad_fn=<AddBackward0>)
Saved after time:  410.9664821624756  sec
pair index 20099 loss tensor(68.9760, grad_fn=<AddBackward0>)
pair index 20199 loss tensor(64.5774, grad_fn=<AddBackward0>)
pair index 20299 loss tensor(65.8344, grad_fn=<AddBackward0>)
pair index 20399 loss tensor(64.8956, grad_fn=<AddBackward0>)
pair index 20499 loss tensor(63.6927, grad_fn=<AddBackward0>)
pair index 20599 loss tensor(67.7235, grad_fn=<AddBackward0>)
pair index 20699 loss tensor(67.0615, grad_fn=<AddBackward0>)
pair index 20799 loss tensor(65.5254, grad_fn=<AddBackward0>)
pair index 20899 loss tensor(66.4961, grad_fn=<AddBackward0>)
pair index 20999 loss tensor(67.0494, grad_fn=<AddBackward0>)
pair index 21099 loss tensor(66.7419, grad_fn=<AddBackward0>)
pair index 21199 loss tensor(68.1069, grad_fn=<AddBackward0>)
pair index 21299 loss tensor(63.0516, grad_fn=<AddBackward0>)
pair index 21399 loss tensor(65.2083, grad_fn=<AddBackward0>)
pair index 21499 loss tensor(64.2986, grad_fn=<AddBackward0>)
pair index 21599 loss tensor(66.7766, grad_fn=<AddBackward0>)
pair index 21699 loss tensor(63.4465, grad_fn=<AddBackward0>)
pair index 21799 loss tensor(66.8360, grad_fn=<AddBackward0>)
pair index 21899 loss tensor(62.0987, grad_fn=<AddBackward0>)
pair index 21999 loss tensor(67.7434, grad_fn=<AddBackward0>)
pair index 22099 loss tensor(67.2059, grad_fn=<AddBackward0>)
pair index 22199 loss tensor(68.9896, grad_fn=<AddBackward0>)
pair index 22299 loss tensor(63.3341, grad_fn=<AddBackward0>)
pair index 22399 loss tensor(68.3405, grad_fn=<AddBackward0>)
pair index 22499 loss tensor(66.1170, grad_fn=<AddBackward0>)
pair index 22599 loss tensor(68.3426, grad_fn=<AddBackward0>)
pair index 22699 loss tensor(67.4004, grad_fn=<AddBackward0>)
pair index 22799 loss tensor(66.1464, grad_fn=<AddBackward0>)
pair index 22899 loss tensor(68.6551, grad_fn=<AddBackward0>)
pair index 22999 loss tensor(68.6587, grad_fn=<AddBackward0>)
pair index 23099 loss tensor(67.7382, grad_fn=<AddBackward0>)
pair index 23199 loss tensor(64.8980, grad_fn=<AddBackward0>)
pair index 23299 loss tensor(69.0079, grad_fn=<AddBackward0>)
pair index 23399 loss tensor(67.7209, grad_fn=<AddBackward0>)
pair index 23499 loss tensor(67.1055, grad_fn=<AddBackward0>)
pair index 23599 loss tensor(64.8862, grad_fn=<AddBackward0>)
pair index 23699 loss tensor(67.7149, grad_fn=<AddBackward0>)
pair index 23799 loss tensor(64.2388, grad_fn=<AddBackward0>)
pair index 23899 loss tensor(65.2958, grad_fn=<AddBackward0>)
pair index 23999 loss tensor(65.8335, grad_fn=<AddBackward0>)
pair index 24099 loss tensor(65.2068, grad_fn=<AddBackward0>)
pair index 24199 loss tensor(67.4003, grad_fn=<AddBackward0>)
pair index 24299 loss tensor(67.1309, grad_fn=<AddBackward0>)
